;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-08-23 00:00:00+00:00;210.09281954485402;182.0163601351483;175.47276938998715;490.9644176089266;427.8607155912978;112.6737945006492
2024-08-26 00:00:00+00:00;210.42623556117653;181.8873233007889;175.3190359073265;491.5517232414386;427.5597899547823;112.94640189339817
2024-08-27 00:00:00+00:00;210.76986235061332;181.71371284170766;175.13769401097554;492.0874361398135;427.2717401565982;113.25004140330226
2024-08-28 00:00:00+00:00;211.0762232717336;181.49759977656015;174.9227641727902;492.56664484171694;426.92536481005664;113.494409032731
2024-08-29 00:00:00+00:00;211.44179232233589;181.31190463479038;174.69033677657777;493.0648513640344;426.6356494429175;113.5751502079028
2024-08-30 00:00:00+00:00;211.78449617322016;181.25622335489354;174.49632900547599;493.6143230476519;426.4311158234568;113.68953476080361
2024-09-03 00:00:00+00:00;211.99718292230398;181.15709021915308;174.17761930750245;493.96398491432126;426.07846145690326;113.57654045155115
2024-09-04 00:00:00+00:00;212.16768028631157;181.0020983698838;173.84939989671034;494.3261096039046;425.72211886172477;113.43034352946559
2024-09-05 00:00:00+00:00;212.36506493130338;180.9404726475029;173.5433030672659;494.762570217797;425.36275389876823;113.3068405545918
2024-09-06 00:00:00+00:00;212.52768407212844;180.75135436516916;173.1153170250343;494.86218630007914;424.8782944649359;113.0990638590878
2024-09-09 00:00:00+00:00;212.6888630225682;180.6453868311358;172.6484789311947;495.04924991642963;424.4828730969343;112.9674697207987
2024-09-10 00:00:00+00:00;212.8310261909796;180.6236960632273;172.20019211091036;495.2326093027534;424.262867473457;112.87075359482024
2024-09-11 00:00:00+00:00;213.02081376070106;180.7008506812319;171.80315848290192;495.55161036776695;424.221917934804;112.95038114512586
2024-09-12 00:00:00+00:00;213.2090189733991;180.82558631130652;171.48111560771835;496.1367083814467;424.2600384345867;113.07278528405669
2024-09-13 00:00:00+00:00;213.38815677403028;180.93775302777894;171.22148945939102;496.69083287126335;424.3683510968891;113.19197348131507
2024-09-16 00:00:00+00:00;213.44150565752722;181.0160153319744;170.9792818560994;497.41537141434475;424.48934082803055;113.2628641008547
2024-09-17 00:00:00+00:00;213.50309450695661;181.13213393694147;170.76741486447955;498.1857602442433;424.6832297463106;113.30878820281796
2024-09-18 00:00:00+00:00;213.64060677393286;181.23704203077986;170.570238284165;498.9731711741995;424.78751038213545;113.30984566903112
2024-09-19 00:00:00+00:00;213.93719810986053;181.40799159684732;170.4250851595907;500.1638009645309;425.04545393235;113.39998491204844
2024-09-20 00:00:00+00:00;214.2146635629566;181.6098136662863;170.31052900573047;501.3754083827765;425.23070201641696;113.45131203051345
2024-09-23 00:00:00+00:00;214.45241507878526;181.85278774978187;170.16715233876985;502.62361758597956;425.3775002428477;113.50677102539383
2024-09-24 00:00:00+00:00;214.70326066509642;182.09253465996176;170.0379017853219;503.8257245068482;425.43562267577084;113.65241261791581
2024-09-25 00:00:00+00:00;214.9293587869819;182.29921711777035;169.89833948250688;505.10264080490253;425.5506954080189;113.84744395936953
2024-09-26 00:00:00+00:00;215.17372709805343;182.47467823746024;169.77817438049792;506.34496528115136;425.64767955390744;114.04910756400878
2024-09-27 00:00:00+00:00;215.41859700883995;182.58349651435614;169.68929950734218;507.5531835003674;425.6777244639244;114.19450424015658
2024-09-30 00:00:00+00:00;215.76167315244197;182.65768473844918;169.63980847633354;508.8380710041504;425.75223287394414;114.33781372046249
2024-10-01 00:00:00+00:00;215.96364814986808;182.706641572991;169.61565381678128;510.17731654274394;425.63534924030165;114.3903705919381
2024-10-02 00:00:00+00:00;216.17289822566352;182.74730202712655;169.5699972572132;511.4175676519687;425.45042593677306;114.47851794920247
2024-10-03 00:00:00+00:00;216.35604839568052;182.7317120209234;169.52326477120636;512.8304874911623;425.25750495306994;114.64412229625957
2024-10-04 00:00:00+00:00;216.55792368947738;182.80652949589197;169.5041901729368;514.4762204604741;425.0589177523826;114.84743457181708
2024-10-07 00:00:00+00:00;216.65472451456583;182.76679629897842;169.40291906831723;515.8683750908979;424.7354123178908;115.1021626897773
2024-10-08 00:00:00+00:00;216.83031177375292;182.76586966376505;169.32959387782068;517.3935560722354;424.5204845745523;115.45421578733044
2024-10-09 00:00:00+00:00;217.07699342150735;182.8134761688181;169.20544345565776;518.8414066404213;424.3641588918415;115.79454525454837
2024-10-10 00:00:00+00:00;217.30890017161133;182.8894468168907;169.0861275986305;520.1283098176375;424.17891431697984;116.17090485259799
2024-10-11 00:00:00+00:00;217.50674228222917;183.00688365861998;168.99570931494395;521.5109177857443;424.0068237816962;116.53961387431325
2024-10-14 00:00:00+00:00;217.77484257138832;183.09664820569944;168.94331915234142;522.8754537288019;423.893871516217;116.96577005697304
