;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-08-30 00:00:00+00:00;221.58617477416993;172.03300018310546;164.59383239746094;517.9943389892578;411.389111328125;117.99177703857421
2024-09-03 00:00:00+00:00;222.27251663208008;172.79449996948242;164.4924659729004;519.7941207885742;412.13766021728514;118.36921882629395
2024-09-04 00:00:00+00:00;222.96473541259766;173.3645004272461;164.35614624023438;520.7257308959961;412.637109375;118.46720352172852
2024-09-05 00:00:00+00:00;223.6041603088379;174.12050018310546;164.24878845214843;522.1213973999023;413.16988677978514;118.88213920593262
2024-09-06 00:00:00+00:00;223.9915657043457;174.4;163.66405868530273;521.653842163086;413.1566390991211;118.77515563964843
2024-09-09 00:00:00+00:00;224.2372947692871;174.8229995727539;162.88242950439454;521.0054595947265;413.17812194824216;118.86114234924317
2024-09-10 00:00:00+00:00;224.36615295410155;175.46049957275392;162.19620590209962;520.4479919433594;413.5834075927734;118.81514968872071
2024-09-11 00:00:00+00:00;224.43557662963866;176.175;161.51811294555665;519.6132873535156;414.07117462158203;118.85364379882813
2024-09-12 00:00:00+00:00;224.48801879882814;177.0199996948242;161.20426330566406;519.5553405761718;414.6145874023438;118.90714492797852
2024-09-13 00:00:00+00:00;224.37714080810548;177.4650001525879;160.9749885559082;518.9204467773437;415.0916320800781;118.71968269348145
2024-09-16 00:00:00+00:00;223.89117584228515;177.85650024414062;160.6983169555664;519.2385833740234;415.7338470458984;118.33024215698242
2024-09-17 00:00:00+00:00;223.43667526245116;178.28950042724608;160.30338668823242;519.6158050537109;416.41348724365236;117.61034774780273
2024-09-18 00:00:00+00:00;223.14599533081054;178.66699981689453;159.9069923400879;520.2019073486329;416.71338806152346;116.91693992614746
2024-09-19 00:00:00+00:00;223.26935958862305;179.15499954223634;159.6985107421875;521.4244110107422;417.43943481445314;116.38602561950684
2024-09-20 00:00:00+00:00;223.45265731811523;179.9284996032715;159.66688842773436;522.9207580566406;418.4234649658203;115.99958114624023
2024-09-23 00:00:00+00:00;223.4341781616211;180.77050018310547;159.45989456176758;524.7664184570312;419.257795715332;115.34467964172363
2024-09-24 00:00:00+00:00;223.44366760253905;181.69350051879883;159.25643310546874;526.9017517089844;420.0402313232422;115.0657398223877
2024-09-25 00:00:00+00:00;223.36075897216796;182.66400070190429;159.09786987304688;529.3869903564453;420.9519073486328;114.82680473327636
2024-09-26 00:00:00+00:00;223.41220245361328;183.68200073242187;159.07518310546874;531.9646179199219;421.98533782958987;114.74884719848633
2024-09-27 00:00:00+00:00;223.31231231689452;184.47450103759766;159.18042373657227;534.4463134765625;422.7288482666016;114.93983726501465
2024-09-30 00:00:00+00:00;223.51209259033203;184.8660011291504;159.2952766418457;537.0276550292969;423.38553314208986;115.0438404083252
2024-10-01 00:00:00+00:00;223.68390426635742;185.31000137329102;159.79620208740235;540.2875411987304;423.94691009521483;115.49427108764648
2024-10-02 00:00:00+00:00;223.980078125;185.8815010070801;160.28157501220704;543.3154769897461;424.35758819580076;116.12668190002441
2024-10-03 00:00:00+00:00;224.14439697265624;186.08500137329102;160.7224998474121;546.6356094360351;424.76427459716797;116.90908660888672
2024-10-04 00:00:00+00:00;224.4430679321289;186.84100112915038;161.5539993286133;551.4429504394532;425.48083953857423;118.01395034790039
2024-10-07 00:00:00+00:00;224.48202514648438;187.11100158691406;162.29649963378907;555.4665069580078;425.6714584350586;119.0768325805664
